from_stop_id,to_stop_id,transfer_type,min_transfer_time
3747911,1953,2,254
2034,4036980,2,257
1731,3887776,2,279
1731,3887777,2,232
2413,4770163,2,216
2413,4770164,2,216
2126,1957,2,196
2466,4045013,2,234
5688902,2061,2,223
3764747,1824,2,238
2208,1954,2,59
2077,2212,2,151
1953,3764653,2,225
3765208,1845,2,226
5018392,2208,2,185
2363,4472995,2,228
1729,3764663,2,212
2363,3887780,2,223
6114723,1964,2,221
2442,4036998,2,279
5018389,1764,2,203
2363,4472992,2,251
4037787,2219,2,240
4009616,2363,2,226
2363,4472993,2,252
2442,4036999,2,232
2363,4472994,2,252
2219,4770182,2,199
2219,4770181,2,243
2219,4016327,2,248
2212,3749738,2,281
2219,4016326,2,243
2363,3442433,2,205
2219,4016325,2,223
1975,4036821,2,247
2363,3442432,2,190
2219,4016324,2,243
4036295,1964,2,241
2363,3887778,2,280
1677,4726958,2,194
2363,3887779,2,252
5688897,2535,2,225
1953,4035562,2,243
2363,3442434,2,225
1953,4035561,2,208
2363,3442435,2,707
2212,3811292,2,281
2363,3442436,2,663
4009622,1731,2,279
4473153,2413,2,208
1953,4035563,2,255
1645,2409,2,90
1964,2155,2,109
1975,3764813,2,268
4037787,1964,2,240
1677,4726957,2,281
2185,4036884,2,270
4997012,1957,2,205
5018385,2230,2,247
2185,4036883,2,279
1953,3666620,2,213
1824,5151512,2,229
6131956,2420,2,230
3813040,2502,2,191
1824,5151511,2,254
2185,4036885,2,197
1824,5151510,2,235
2363,3764967,2,209
2363,3764966,2,235
1953,3666621,2,194
2487,4726957,2,281
2487,4726958,2,194
1975,4770180,2,247
1996,4770171,2,261
4472870,1953,2,216
1996,4770170,2,270
1975,4439623,2,247
3812926,1845,2,176
2219,3764661,2,199
2219,3764660,2,252
2363,2364,2,381
2363,2365,2,108
3807564,1953,2,225
2363,2366,2,289
3741063,2535,2,200
3747910,2208,2,255
4037297,1824,2,251
1975,4770185,2,268
3754200,1996,2,211
4726739,2219,2,243
5018331,2208,2,254
1824,3687473,2,251
5762026,2110,2,201
5710002,2420,2,206
1729,3764619,2,212
1964,4036870,2,189
2363,3926246,2,251
3343776,2487,2,180
1742,4036849,2,206
4037786,1964,2,198
1742,4036848,2,204
5688896,2478,2,262
4473151,1692,2,191
2413,4889619,2,202
1721,3687422,2,285
2223,2322,2,120
2466,4036993,2,260
4009620,1824,2,280
5761986,2061,2,229
3812974,1692,2,192
3764751,2159,2,197
2208,5747233,2,255
2208,5747232,2,209
3764747,2363,2,238
2208,5747231,2,208
3807564,2208,2,225
5688900,2152,2,214
1953,1954,2,67
2219,4036768,2,216
2219,4036769,2,240
2219,4036767,2,246
2219,3764812,2,220
1828,5138197,2,243
2219,3764811,2,243
1828,5138196,2,190
3764784,2363,2,238
3812920,1964,2,220
2472,3687426,2,215
1957,3811292,2,281
2185,3764671,2,210
2185,3764670,2,261
1845,4037040,2,126
2040,4472980,2,253
2219,4770184,2,209
2219,4770183,2,256
1975,3764844,2,247
1729,3764643,2,215
1677,1678,2,105
4473147,2363,2,251
1677,4037046,2,270
4473141,2413,2,216
3812964,1721,2,285
3764437,1996,2,205
1953,2209,2,95
1964,4036869,2,199
2230,4036928,2,247
1957,2235,2,420
3807568,2487,2,195
2219,4036985,2,200
4036299,1764,2,203
2413,4770194,2,208
1953,3666673,2,194
1953,3666672,2,213
3764708,2363,2,663
2219,4036986,2,189
5710061,2420,2,204
1677,4036865,2,246
3926163,1742,2,214
1729,4036988,2,201
