service_id,date,exception_type
2025158,20160829,1
2025158,20160830,1
2025158,20160831,1
2025158,20161226,1
2025158,20161227,1
2025158,20161228,1
2025158,20161229,1
2025146,20161111,1
12025146,20161112,1
12025147,20161003,1
12025147,20161010,1
12025147,20161017,1
12025147,20161024,1
12025147,20161031,1
12025147,20161102,1
12025147,20161107,1
12025147,20161114,1
12025147,20161121,1
12025147,20161128,1
12025147,20161205,1
12025147,20161212,1
12025147,20161219,1
12025147,20161226,1
12025148,20160808,1
12025148,20160816,1
12025148,20160822,1
12025148,20160829,1
12025148,20160905,1
12025148,20160912,1
12025148,20160919,1
12025148,20160926,1
12025149,20161004,1
12025149,20161005,1
12025149,20161006,1
12025149,20161007,1
12025149,20161011,1
12025149,20161012,1
12025149,20161013,1
12025149,20161014,1
12025149,20161018,1
12025149,20161019,1
12025149,20161020,1
12025149,20161104,1
12025149,20161108,1
12025149,20161109,1
12025149,20161110,1
12025149,20161115,1
12025149,20161116,1
12025149,20161117,1
12025149,20161118,1
12025149,20161122,1
12025149,20161123,1
12025149,20161124,1
12025149,20161125,1
12025149,20161129,1
12025149,20161130,1
12025149,20161201,1
12025149,20161202,1
12025149,20161206,1
12025149,20161207,1
12025149,20161208,1
12025149,20161209,1
12025149,20161213,1
12025149,20161214,1
12025149,20161215,1
12025149,20161216,1
12025152,20161002,1
12025152,20161009,1
12025152,20161016,1
12025152,20161023,1
12025152,20161030,1
12025152,20161106,1
12025152,20161113,1
12025152,20161120,1
12025152,20161127,1
12025152,20161204,1
12025152,20161211,1
12025152,20161218,1
12025152,20161225,1
12025152,20170101,1
12025151,20160803,1
12025151,20160804,1
12025151,20160805,1
12025151,20160809,1
12025151,20160810,1
12025151,20160811,1
12025151,20160812,1
12025151,20160817,1
12025151,20160818,1
12025151,20160819,1
12025151,20160823,1
12025151,20160824,1
12025151,20160825,1
12025151,20160826,1
12025150,20160902,1
12025150,20160906,1
12025150,20160907,1
12025150,20160908,1
12025150,20160909,1
12025150,20160913,1
12025150,20160914,1
12025150,20160915,1
12025150,20160916,1
12025150,20160920,1
12025150,20160921,1
12025150,20160922,1
12025150,20160923,1
12025150,20160927,1
12025150,20160928,1
12025150,20160929,1
12025150,20160930,1
12025150,20161021,1
12025150,20161025,1
12025150,20161026,1
12025150,20161027,1
12025150,20161028,1
12025150,20161103,1
12025150,20161220,1
12025150,20161221,1
12025150,20161222,1
12025150,20161223,1
2025149,20161003,1
2025149,20161004,1
2025149,20161005,1
2025149,20161006,1
2025149,20161010,1
2025149,20161011,1
2025149,20161012,1
2025149,20161013,1
2025149,20161017,1
2025149,20161018,1
2025149,20161019,1
2025149,20161103,1
2025149,20161107,1
2025149,20161108,1
2025149,20161109,1
2025149,20161114,1
2025149,20161115,1
2025149,20161116,1
2025149,20161117,1
2025149,20161121,1
2025149,20161122,1
2025149,20161123,1
2025149,20161124,1
2025149,20161128,1
2025149,20161129,1
2025149,20161130,1
2025149,20161201,1
2025149,20161205,1
2025149,20161206,1
2025149,20161207,1
2025149,20161208,1
2025149,20161212,1
2025149,20161213,1
2025149,20161214,1
2025149,20161215,1
2025148,20160807,1
2025148,20160815,1
2025148,20160821,1
2025148,20160828,1
2025148,20160904,1
2025148,20160911,1
2025148,20160918,1
2025148,20160925,1
2025147,20161002,1
2025147,20161009,1
2025147,20161016,1
2025147,20161023,1
2025147,20161030,1
2025147,20161101,1
2025147,20161106,1
2025147,20161113,1
2025147,20161120,1
2025147,20161127,1
2025147,20161204,1
2025147,20161211,1
2025147,20161218,1
2025147,20161225,1
2025152,20161001,1
2025152,20161008,1
2025152,20161015,1
2025152,20161022,1
2025152,20161029,1
2025152,20161105,1
2025152,20161112,1
2025152,20161119,1
2025152,20161126,1
2025152,20161203,1
2025152,20161210,1
2025152,20161217,1
2025152,20161224,1
2025152,20161231,1
2025153,20160806,1
2025153,20160813,1
2025153,20160814,1
2025153,20160820,1
2025153,20160827,1
2025153,20160903,1
2025153,20160910,1
2025153,20160917,1
2025153,20160924,1
2025150,20160901,1
2025150,20160905,1
2025150,20160906,1
2025150,20160907,1
2025150,20160908,1
2025150,20160912,1
2025150,20160913,1
2025150,20160914,1
2025150,20160915,1
2025150,20160919,1
2025150,20160920,1
2025150,20160921,1
2025150,20160922,1
2025150,20160926,1
2025150,20160927,1
2025150,20160928,1
2025150,20160929,1
2025150,20161020,1
2025150,20161024,1
2025150,20161025,1
2025150,20161026,1
2025150,20161027,1
2025150,20161102,1
2025150,20161219,1
2025150,20161220,1
2025150,20161221,1
2025150,20161222,1
2025151,20160802,1
2025151,20160803,1
2025151,20160804,1
2025151,20160808,1
2025151,20160809,1
2025151,20160810,1
2025151,20160811,1
2025151,20160816,1
2025151,20160817,1
2025151,20160818,1
2025151,20160822,1
2025151,20160823,1
2025151,20160824,1
2025151,20160825,1
2025156,20161031,1
2025156,20161230,1
2025157,20160805,1
2025157,20160812,1
2025157,20160819,1
2025157,20160826,1
2025154,20161007,1
2025154,20161014,1
2025154,20161104,1
2025154,20161110,1
2025154,20161118,1
2025154,20161125,1
2025154,20161202,1
2025154,20161209,1
2025154,20161216,1
2025155,20160902,1
2025155,20160909,1
2025155,20160916,1
2025155,20160923,1
2025155,20160930,1
2025155,20161021,1
2025155,20161028,1
2025155,20161223,1
12025157,20160806,1
12025157,20160813,1
12025157,20160820,1
12025157,20160827,1
12025158,20160830,1
12025158,20160831,1
12025158,20160901,1
12025158,20161227,1
12025158,20161228,1
12025158,20161229,1
12025158,20161230,1
12025155,20160903,1
12025155,20160910,1
12025155,20160917,1
12025155,20160924,1
12025155,20161001,1
12025155,20161022,1
12025155,20161029,1
12025155,20161224,1
12025156,20161101,1
12025156,20161231,1
12025153,20160807,1
12025153,20160814,1
12025153,20160815,1
12025153,20160821,1
12025153,20160828,1
12025153,20160904,1
12025153,20160911,1
12025153,20160918,1
12025153,20160925,1
12025154,20161008,1
12025154,20161015,1
12025154,20161105,1
12025154,20161111,1
12025154,20161119,1
12025154,20161126,1
12025154,20161203,1
12025154,20161210,1
12025154,20161217,1
